HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0.0,1,0,1,0,0,0.0,0,0,2013-11-10 00:00:00,1,0,1.0,1.0,0.0,1.0,5.0,10.0,2.0,2.0,5.0,6.0,12.0,11.0,2.0,3.0,0.0,0.0,5.0,1,1,0.1333333333333333,0.1333333333333333,0.2666666666666666,6,5,3,3,4,1
0,0,0,1.0,0,0,0,0,0,0.0,0,1,2013-11-24 00:00:00,6,0,1.0,3.0,0.0,1.0,15.0,13.0,10.0,5.0,4.0,7.0,7.0,11.0,1.0,3.0,0.0,0.0,4.0,1,6,0.1785714285714285,0.3571428571428571,0.5357142857142857,6,5,3,6,4,1
0,0,0,0.0,0,1,0,0,0,0.0,1,0,2013-12-01 00:00:00,2,2,0.0,1.0,1.0,0.0,10.0,8.0,4.0,3.0,7.0,7.0,9.0,15.0,1.0,3.0,0.0,0.0,4.0,1,4,0.1666666666666666,0.2222222222222222,0.3888888888888889,6,5,3,6,5,2
0,0,0,1.0,0,0,1,0,0,0.0,0,0,2013-12-14 00:00:00,6,3,1.0,2.0,1.0,1.0,22.0,12.0,7.0,6.0,8.0,8.0,12.0,6.0,2.0,1.0,0.0,0.0,3.0,0,9,0.1764705882352941,0.2058823529411764,0.3823529411764705,6,5,3,9,5,2
0,0,0,0.0,0,1,0,0,1,0.0,0,0,2013-12-15 00:00:00,0,5,-1.0,0.0,2.0,-1.0,9.0,21.0,0.0,10.0,2.0,9.0,17.0,15.0,3.0,0.0,1.0,0.0,3.0,0,5,0.3333333333333333,0.0,0.3333333333333333,6,5,6,9,5,2
1,0,0,0.0,0,0,0,1,0,0.0,0,0,2013-12-23 00:00:00,0,0,0.0,0.0,0.0,0.0,7.0,13.0,2.0,4.0,8.0,6.0,7.0,11.0,2.0,1.0,0.0,0.0,3.0,0,0,0.2,0.1,0.3,7,6,6,9,5,2
0,0,0,1.0,0,0,0,0,1,0.0,0,0,2013-12-26 00:00:00,2,1,1.0,2.0,1.0,1.0,20.0,12.0,6.0,5.0,7.0,6.0,10.0,9.0,1.0,3.0,0.0,0.0,4.0,1,3,0.15625,0.1875,0.34375,7,6,6,12,5,2
0,1,0,0.0,0,0,0,0,1,0.0,0,0,2013-12-29 00:00:00,2,1,1.0,2.0,1.0,1.0,11.0,8.0,5.0,4.0,4.0,2.0,17.0,17.0,4.0,1.0,0.0,0.0,5.0,1,3,0.2105263157894736,0.2631578947368421,0.4736842105263157,7,9,6,12,5,2
0,0,0,0.0,1,0,0,0,0,0.0,0,1,2014-01-01 00:00:00,1,2,-1.0,0.0,1.0,-1.0,16.0,9.0,6.0,4.0,13.0,2.0,7.0,7.0,2.0,1.0,0.0,0.0,3.0,0,3,0.16,0.24,0.4,7,9,6,12,5,5
0,1,0,0.0,0,0,0,0,0,0.0,1,0,2014-01-19 00:00:00,3,1,1.0,2.0,0.0,1.0,13.0,10.0,6.0,4.0,5.0,4.0,15.0,21.0,1.0,3.0,0.0,1.0,4.0,1,4,0.1739130434782608,0.2608695652173913,0.4347826086956521,7,12,6,12,5,5
0,0,0,0.0,0,1,0,0,0,1.0,0,0,2014-01-29 00:00:00,1,5,-1.0,0.0,1.0,-1.0,4.0,24.0,2.0,10.0,3.0,5.0,11.0,10.0,1.0,4.0,1.0,0.0,5.0,1,6,0.3571428571428571,0.0714285714285714,0.4285714285714285,7,12,6,15,5,5
0,0,0,1.0,0,0,0,1,0,0.0,0,0,2014-02-03 00:00:00,0,1,-1.0,0.0,1.0,-1.0,25.0,18.0,3.0,6.0,12.0,6.0,11.0,13.0,3.0,3.0,0.0,0.0,6.0,1,1,0.1395348837209302,0.0697674418604651,0.2093023255813953,7,15,6,15,5,5
0,0,1,0.0,0,0,1,0,0,0.0,0,0,2014-02-08 00:00:00,5,1,1.0,4.0,0.0,1.0,22.0,11.0,12.0,6.0,6.0,6.0,14.0,14.0,1.0,2.0,0.0,0.0,3.0,0,6,0.1818181818181818,0.3636363636363636,0.5454545454545454,7,15,9,15,5,5
1,0,0,0.0,0,0,0,0,0,0.0,1,0,2014-02-12 00:00:00,0,0,0.0,0.0,0.0,0.0,17.0,6.0,5.0,2.0,5.0,5.0,10.0,14.0,1.0,2.0,0.0,0.0,3.0,0,0,0.0869565217391304,0.217391304347826,0.3043478260869565,8,15,9,15,6,5
0,1,0,0.0,0,0,0,0,0,0.0,0,1,2014-03-08 00:00:00,4,0,1.0,0.0,0.0,0.0,12.0,6.0,4.0,2.0,5.0,4.0,11.0,18.0,2.0,3.0,0.0,1.0,5.0,1,4,0.1111111111111111,0.2222222222222222,0.3333333333333333,8,18,9,15,6,5
0,0,0,0.0,1,0,0,0,1,0.0,0,0,2014-03-16 00:00:00,0,3,-1.0,0.0,1.0,-1.0,13.0,17.0,1.0,7.0,3.0,4.0,13.0,12.0,1.0,4.0,1.0,0.0,5.0,1,3,0.2333333333333333,0.0333333333333333,0.2666666666666666,8,18,12,15,6,5
0,0,0,0.0,0,1,1,0,0,0.0,0,0,2014-03-16 00:00:00,0,1,-1.0,0.0,1.0,-1.0,17.0,7.0,2.0,3.0,5.0,2.0,18.0,11.0,5.0,3.0,0.0,0.0,8.0,1,1,0.125,0.0833333333333333,0.2083333333333333,11,18,12,15,6,5
0,1,0,0.0,0,0,1,0,0,0.0,0,0,2014-03-22 00:00:00,6,0,1.0,4.0,0.0,1.0,21.0,12.0,11.0,5.0,7.0,1.0,14.0,8.0,0.0,1.0,0.0,1.0,1.0,0,6,0.1515151515151515,0.3333333333333333,0.4848484848484848,11,21,12,15,6,5
0,0,0,0.0,1,0,0,0,0,1.0,0,0,2014-03-25 00:00:00,0,3,-1.0,0.0,1.0,-1.0,10.0,13.0,4.0,4.0,5.0,8.0,12.0,8.0,2.0,2.0,0.0,0.0,4.0,1,3,0.1739130434782608,0.1739130434782608,0.3478260869565217,11,21,12,18,6,5
1,0,0,0.0,0,0,0,0,0,1.0,0,0,2014-03-29 00:00:00,1,1,0.0,0.0,1.0,-1.0,10.0,15.0,3.0,4.0,6.0,6.0,8.0,11.0,1.0,4.0,0.0,0.0,5.0,1,2,0.16,0.12,0.28,12,21,12,19,6,5
0,0,1,0.0,0,0,0,0,0,0.0,0,1,2014-03-30 00:00:00,4,0,1.0,2.0,0.0,1.0,11.0,15.0,5.0,4.0,5.0,7.0,9.0,9.0,0.0,2.0,0.0,0.0,2.0,0,4,0.1538461538461538,0.1923076923076923,0.3461538461538461,12,21,15,19,6,5
0,0,1,0.0,0,0,0,0,0,1.0,0,0,2014-04-13 01:00:00,3,2,1.0,2.0,0.0,1.0,10.0,13.0,4.0,5.0,7.0,7.0,7.0,9.0,1.0,3.0,1.0,0.0,4.0,1,5,0.217391304347826,0.1739130434782608,0.391304347826087,12,21,18,19,6,5
0,0,1,0.0,0,0,0,1,0,0.0,0,0,2014-04-27 01:00:00,0,2,-1.0,0.0,1.0,-1.0,26.0,11.0,8.0,4.0,14.0,3.0,9.0,7.0,0.0,4.0,0.0,0.0,4.0,1,2,0.1081081081081081,0.2162162162162162,0.3243243243243243,12,24,18,19,6,5
1,0,0,0.0,0,0,0,0,1,0.0,0,0,2011-08-20 01:00:00,0,2,-1.0,0.0,0.0,0.0,10.0,13.0,6.0,8.0,9.0,5.0,11.0,6.0,2.0,2.0,1.0,0.0,4.0,1,2,0.3478260869565217,0.2608695652173913,0.6086956521739131,0,0,3,0,0,0
0,0,0,0.0,1,0,0,0,0,0.0,0,1,2011-08-22 01:00:00,3,0,1.0,0.0,0.0,0.0,27.0,20.0,21.0,12.0,11.0,3.0,12.0,9.0,1.0,2.0,0.0,0.0,3.0,0,3,0.2553191489361702,0.4468085106382978,0.7021276595744681,0,0,3,0,3,0
